benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
num_cg,li,release,1,wall_time,0.0109,0.001427,86,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_integ_symplectic,cpp,release,1,wall_time,0.01,0.001117,81,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_integ_symplectic,rust,release,1,wall_time,0.0093,0.000701,109,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_symplectic,julia,release,1,wall_time,0.0097,0.001021,107,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_integ_symplectic,li,release,1,wall_time,0.0118,0.00139,93,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_fft_r2c,cpp,release,1,wall_time,0.019,0.001566,45,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_fft_r2c,rust,release,1,wall_time,0.0177,0.000927,56,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_fft_r2c,julia,release,1,wall_time,0.0188,0.001404,57,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_fft_r2c,li,release,1,wall_time,0.0204,0.001903,48,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_quadrature_gauss,cpp,release,1,wall_time,0.0093,0.001106,83,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_quadrature_gauss,rust,release,1,wall_time,0.0085,0.00073,131,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_quadrature_gauss,julia,release,1,wall_time,0.009,0.00101,134,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_quadrature_gauss,li,release,1,wall_time,0.0103,0.002365,90,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_sparse_mv,cpp,release,1,wall_time,0.0158,0.001472,55,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_sparse_mv,rust,release,1,wall_time,0.0143,0.000976,68,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_sparse_mv,julia,release,1,wall_time,0.0151,0.0018,74,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_sparse_mv,li,release,1,wall_time,0.0164,0.002465,63,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_opt_line_search,cpp,release,1,wall_time,0.0117,0.001247,115,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_opt_line_search,rust,release,1,wall_time,0.0107,0.000729,94,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_opt_line_search,julia,release,1,wall_time,0.0117,0.001262,91,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_opt_line_search,li,release,1,wall_time,0.0116,0.003091,74,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_cholesky,cpp,release,1,wall_time,0.009,0.000707,101,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_cholesky,rust,release,1,wall_time,0.0085,0.000733,119,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_cholesky,julia,release,1,wall_time,0.0096,0.00119,121,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_cholesky,li,release,1,wall_time,0.0089,0.003318,86,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
num_gmres,cpp,release,1,wall_time,0.0089,0.000792,116,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
num_gmres,rust,release,1,wall_time,0.0085,0.000717,118,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_gmres,julia,release,1,wall_time,0.0095,0.001175,109,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
num_gmres,li,release,1,wall_time,0.0089,0.003349,92,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
matmul_blocked,cpp,release,1,wall_time,0.023,0.001614,43,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
matmul_blocked,cpp,release,1,throughput,11.6772,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
matmul_blocked,rust,release,1,wall_time,0.0219,0.00169,48,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_blocked,rust,release,1,throughput,12.2328,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_blocked,julia,release,1,wall_time,0.0236,0.001799,47,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_blocked,julia,release,1,throughput,11.3856,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
matmul_blocked,li,release,1,wall_time,0.0083,0.003346,89,s,525456f8,x86_64,pure lic -O3 -march=native -ffast-math,linux,,,,,,
matmul_blocked,li,release,1,throughput,32.1823,,,GFLOPS,525456f8,x86_64,pure lic -O3 -march=native -ffast-math,linux,,,,,,
fft_1d_fixed,cpp,release,1,wall_time,0.0287,0.005736,33,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
fft_1d_fixed,rust,release,1,wall_time,0.0258,0.001569,40,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
fft_1d_fixed,julia,release,1,wall_time,0.0274,0.002147,40,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
fft_1d_fixed,li,release,1,wall_time,0.0266,0.004255,34,s,525456f8,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
horner_pure_li,cpp,release,1,wall_time,0.0088,0.001431,200,s,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
horner_pure_li,cpp,release,1,throughput,1.1401,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
horner_pure_li,rust,release,1,wall_time,0.0087,0.000872,129,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
horner_pure_li,rust,release,1,throughput,1.1449,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
horner_pure_li,julia,release,1,wall_time,0.0102,0.001146,111,s,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
horner_pure_li,julia,release,1,throughput,0.9826,,,GFLOPS,525456f8,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
